[2022-12-11 22:52:30:45979][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [1회] 2차 경연 {기도} 스토리의 비밀 (feat. 호기심KING 주학년)#KINGDOMWEEK: NO+ EP.1 | Mnet 210817 방송
[2022-12-11 22:52:30:45979][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/CnDGwEsEiSw/default.jpg
[2022-12-11 22:52:30:45979][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : 6GXXaoXKa44
[2022-12-11 22:52:30:45979][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [1회] '아슬아슬하다..' 복잡한 동선에 초조한 방찬#KINGDOMWEEK: NO+ EP.1 | Mnet 210817 방송
[2022-12-11 22:52:30:45980][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/6GXXaoXKa44/default.jpg
[2022-12-11 22:52:30:45982][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : RGolytwDNtA
[2022-12-11 22:52:30:45986][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [1회] '(힝)너무 불안했다구(T_T)' 승민이 무대에 집중하지 못한 이유#KINGDOMWEEK: NO+ EP.1 | Mnet 210817 방송
[2022-12-11 22:52:30:45987][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/RGolytwDNtA/default.jpg
[2022-12-11 22:52:30:45987][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : a-KGWXueV7Q
[2022-12-11 22:52:30:45988][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [1회]'준비 됐어?' 스페셜 요원 필릭스가 전하는 '킹덤위크'#KINGDOMWEEK: NO+ EP.1 | Mnet 210817 방송
[2022-12-11 22:52:30:45989][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/a-KGWXueV7Q/default.jpg
[2022-12-11 22:52:30:45990][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : ym_s69mCCv8
[2022-12-11 22:52:30:45990][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [킹덤위크 D-1] #슼망진창 #허당키즈 #킹덤위크_모먼트#KINGDOMWEEK: NO+ EP.0
[2022-12-11 22:52:30:45990][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/ym_s69mCCv8/default.jpg
[2022-12-11 22:52:30:45990][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : I89ANct6HLQ
[2022-12-11 22:52:30:45990][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [킹덤위크 D-2] #장꾸와_멋짐_사이 #반전키즈 #킹덤위크_모먼트#KINGDOMWEEK: NO+ EP.0
[2022-12-11 22:52:30:45990][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/I89ANct6HLQ/default.jpg
[2022-12-11 22:52:30:45990][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : q3bCKeheLeI
[2022-12-11 22:52:30:45990][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [킹덤위크 D-3] #흥신흥왕 #흥키즈 #킹덤위크_모먼트#KINGDOMWEEK: NO+ EP.0
[2022-12-11 22:52:30:45990][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/q3bCKeheLeI/default.jpg
[2022-12-11 22:52:30:45990][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : 4-eaZwMtvX8
[2022-12-11 22:52:30:45990][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] [킹덤위크/예고] 비하인드부터 원앤온리 ★컴백쇼★ 까지! 풀코스로 준비완료!#KINGDOMWEEK: NO+ EP.0
[2022-12-11 22:52:30:45990][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/4-eaZwMtvX8/default.jpg
[2022-12-11 22:52:34:49681][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : JlIfPogZ-No
[2022-12-11 22:52:34:49682][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [최초 공개] ♬ 소리꾼 - 스트레이 키즈(Stray Kids) | 스트레이키즈 컴백쇼 {NOEASY}
[2022-12-11 22:52:34:49682][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/JlIfPogZ-No/default.jpg
[2022-12-11 22:52:34:49683][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : LIXiwwtv2ds
[2022-12-11 22:52:34:49683][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] 녹음현장부터 뮤비 촬영현장까지! {NOEASY} Making Live !#KINGDOMWEEK: NO+ EP.7 | Mnet 210823 방송
[2022-12-11 22:52:34:49683][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/LIXiwwtv2ds/default.jpg
[2022-12-11 22:52:34:49683][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : MUAui1n8OEU
[2022-12-11 22:52:34:49683][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] ♬ 잘 하고 있어 - 스트레이 키즈(Stray Kids) | 스트레이키즈 컴백쇼 {NOEASY}
[2022-12-11 22:52:34:49683][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/MUAui1n8OEU/default.jpg
[2022-12-11 22:52:34:49683][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : 0lROhj6OqFY
[2022-12-11 22:52:34:49683][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [ENG] 스테이에게 찾아온 시련?! {벌스테이 카페}만의 '아주 특별한' 메뉴 주문법#KINGDOMWEEK: NO+ EP.7 | Mnet 210823 방송
[2022-12-11 22:52:34:49684][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video thumbnail : https://i.ytimg.com/vi/0lROhj6OqFY/default.jpg
[2022-12-11 22:52:34:49684][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video id : PKiX6nl4zNU
[2022-12-11 22:52:34:49684][http-nio-8282-exec-1] INFO  c.e.g.y.service.YoutubeService - video title : [최초 공개] ♬ The View - 스트레이 키즈(Stray Kids) | 스트레이키즈 컴백쇼 {NOEASY}
